Quant Method,Filename,comp_method,soil_type,rs,treatment,env_rep,tech_rep,Sample Type,Area,Height,cali conc,calc conc,RT,SN
MUBph_315nm,MUBph_0-001mgmL-1,NA,NA,MUBph,0.001mgmL,A,1,Cal,4096.946512,437.6879986,0.001,0.0004062,4.626666667,1.802317336
MUBph_315nm,MUBph_0-001mgmL-2,NA,NA,MUBph,0.001mgmL,A,2,Cal,3291.325249,366.9385513,0.001,0.000326325,4.66,1.364743399
MUBph_315nm,MUBph_0-001mgmL-3,NA,NA,MUBph,0.001mgmL,A,3,Cal,3141,373.3898305,0.001,0.000311421,4.68,1.487719013
MUBph_315nm,MUBph_0-05mgmL-1,NA,NA,MUBph,0.05mgmL,A,1,Cal,378050.7372,28246.00735,0.05,0.037482596,4.46,26.96732452
MUBph_315nm,MUBph_0-05mgmL-2,NA,NA,MUBph,0.05mgmL,A,2,Cal,372823.1698,27809.87151,0.05,0.036964298,4.486666667,85.62354482
MUBph_315nm,MUBph_0-05mgmL-3,NA,NA,MUBph,0.05mgmL,A,3,Cal,359261.488,28055.07958,0.05,0.035619698,4.563333333,30.086123
MUBph_315nm,MUBph_0-25mgmL-1,NA,NA,MUBph,0.25mgmL,A,1,Cal,2245545.594,141168.3793,0.25,0.222639107,4.796666667,3130.886843
MUBph_315nm,MUBph_0-25mgmL-2,NA,NA,MUBph,0.25mgmL,A,2,Cal,2238361.458,139038.0581,0.25,0.221926822,4.816666667,2884.192151
MUBph_315nm,MUBph_0-25mgmL-3,NA,NA,MUBph,0.25mgmL,A,3,Cal,2214602.826,138503.8188,0.25,0.219571224,4.84,2510.096782
MUBph_315nm,MUBph_0-5mgmL-1,NA,NA,MUBph,0.5mgmL,A,1,Cal,4965865.344,234841.4115,0.5,0.492350647,4.923333333,4399.383996
MUBph_315nm,MUBph_0-5mgmL-2,NA,NA,MUBph,0.5mgmL,A,2,Cal,5058631.053,238092.847,0.5,0.501548089,4.94,642.8634677
MUBph_315nm,MUBph_0-5mgmL-3,NA,NA,MUBph,0.5mgmL,A,3,Cal,4978838.304,237516.1711,0.5,0.493636877,4.963333333,567.4665042
MUBph_315nm,MUBph_1mgmL-1,NA,NA,MUBph,1mgmL,A,1,Cal,10227320,409401.9171,1,1.014008087,5.03,990.2780837
MUBph_315nm,MUBph_1mgmL-2,NA,NA,MUBph,1mgmL,A,2,Cal,10187471.3,407593.9917,1,1.010057208,5.02,1659.895133
MUBph_315nm,MUBph_1mgmL-3,NA,NA,MUBph,1mgmL,A,3,Cal,10142830.8,408326.0025,1,1.005631237,5.063333333,1640.137938
MUBph_315nm,ACN_01,NA,NA,ACN,seq blank,NA,1,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_02,NA,NA,ACN,seq blank,NA,2,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_03,NA,NA,ACN,seq blank,NA,3,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_04,NA,NA,ACN,seq blank,NA,4,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_05,NA,NA,ACN,seq blank,NA,5,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_06,NA,NA,ACN,seq blank,NA,6,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_07,NA,NA,ACN,seq blank,NA,7,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_08,NA,NA,ACN,seq blank,NA,8,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_09,NA,NA,ACN,seq blank,NA,9,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_10,NA,NA,ACN,seq blank,NA,10,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_11,NA,NA,ACN,seq blank,NA,11,Blank,NA,NA,NA,NA,NA,NA
MUBph_315nm,ACN_12,NA,NA,ACN,seq blank,NA,12,Blank,NA,NA,NA,NA,NA,NA
