ID,Initial soil weight g
CF_MB_H2O_1,0.0000
CF_MB_H2O_2,0.0000
CF_MB_H2O_3,0.0000
CF_MB_H2O_4,0.0000
CF_MB_H2O_5,0.0000
CF_MB_H2O_6,0.0000
CF_kc_H2O_1,1.0006
CF_kc_H2O_2,1.0076
CF_kc_H2O_3,1.0003
CF_mc_H2O_1,1.0024
CF_mc_H2O_2,0.9998
CF_mc_H2O_3,1.0023
CF_gs_H2O_1,1.0051
CF_gs_H2O_2,1.0030
CF_gs_H2O_3,1.0002
CF_fo_H2O_1,1.0007
CF_fo_H2O_2,1.0047
CF_fo_H2O_3,1.0040
CF_rc_H2O_1,1.0049
CF_rc_H2O_2,1.0050
CF_rc_H2O_3,1.0046
CF_MB_MeOH_1,0.0000
CF_MB_MeOH_2,0.0000
CF_MB_MeOH_3,0.0000
CF_kc_MeOH_1,1.0017
CF_kc_MeOH_2,0.9990
CF_kc_MeOH_3,1.0007
CF_mc_MeOH_1,1.0030
CF_mc_MeOH_2,1.0004
CF_mc_MeOH_3,1.0013
CF_gs_MeOH_1,1.0043
CF_gs_MeOH_2,1.0035
CF_gs_MeOH_3,1.0002
CF_fo_MeOH_1,1.0006
CF_fo_MeOH_2,1.0009
CF_fo_MeOH_3,1.0074
CF_rc_MeOH_1,1.0065
CF_rc_MeOH_2,1.0047
CF_rc_MeOH_3,0.9995
SO_MB_H2O_1,0.0000
SO_MB_H2O_2,0.0000
SO_MB_H2O_3,0.0000
SO_MB_H2O_4,0.0000
SO_MB_H2O_5,0.0000
SO_MB_H2O_6,0.0000
SO_kc_H2O_1,1.0081
SO_kc_H2O_2,1.0010
SO_kc_H2O_3,1.0024
SO_mc_H2O_1,0.9985
SO_mc_H2O_2,1.0022
SO_mc_H2O_3,1.0082
SO_gs_H2O_1,1.0024
SO_gs_H2O_2,1.0008
SO_gs_H2O_3,1.0017
SO_fo_H2O_1,1.0018
SO_fo_H2O_2,1.0007
SO_fo_H2O_3,1.0017
SO_rc_H2O_1,1.0035
SO_rc_H2O_2,1.0070
SO_rc_H2O_3,1.0060
SO_MB_MeOH_1,0.0000
SO_MB_MeOH_2,0.0000
SO_MB_MeOH_3,0.0000
SO_kc_MeOH_1,1.0075
SO_kc_MeOH_2,1.0012
SO_kc_MeOH_3,1.0040
SO_mc_MeOH_1,0.9980
SO_mc_MeOH_2,1.0030
SO_mc_MeOH_3,1.0039
SO_gs_MeOH_1,1.0031
SO_gs_MeOH_2,1.0031
SO_gs_MeOH_3,1.0061
SO_fo_MeOH_1,1.0028
SO_fo_MeOH_2,0.9998
SO_fo_MeOH_3,0.9986
SO_rc_MeOH_1,1.0049
SO_rc_MeOH_2,1.0026
SO_rc_MeOH_3,1.0020
SH_MB_H2O_1,0.0000
SH_MB_H2O_2,0.0000
SH_MB_H2O_3,0.0000
SH_MB_H2O_4,0.0000
SH_MB_H2O_5,0.0000
SH_MB_H2O_6,0.0000
SH_kc_H2O_1,1.0007
SH_kc_H2O_2,1.0005
SH_kc_H2O_3,1.0048
SH_mc_H2O_1,1.0066
SH_mc_H2O_2,1.0068
SH_mc_H2O_3,0.9995
SH_gs_H2O_1,1.0008
SH_gs_H2O_2,1.0041
SH_gs_H2O_3,1.0056
SH_fo_H2O_1,1.0011
SH_fo_H2O_2,1.0013
SH_fo_H2O_3,1.0023
SH_rc_H2O_1,1.0067
SH_rc_H2O_2,1.0011
SH_rc_H2O_3,1.0056
SH_MB_MeOH_1,0.0000
SH_MB_MeOH_2,0.0000
SH_MB_MeOH_3,0.0000
SH_kc_MeOH_1,1.0060
SH_kc_MeOH_2,0.9995
SH_kc_MeOH_3,1.0059
SH_mc_MeOH_1,1.0000
SH_mc_MeOH_2,1.0078
SH_mc_MeOH_3,1.0040
SH_gs_MeOH_1,1.0000
SH_gs_MeOH_2,1.0015
SH_gs_MeOH_3,1.0007
SH_fo_MeOH_1,1.0002
SH_fo_MeOH_2,0.9999
SH_fo_MeOH_3,1.0003
SH_rc_MeOH_1,1.0001
SH_rc_MeOH_2,1.0032
SH_rc_MeOH_3,1.0027
